Batter,Game,AB#,Umpire,Ground,Home,Order,Result,Direction,Strt Case,End Case
Ken McKell,1,1,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,1,2,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,1,3,N/A,N/A,N/A,N/A,Throw Out,6,N/A,N/A
Ken McKell,2,1,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,2,2,N/A,N/A,N/A,N/A,Single,5,N/A,N/A
Ken McKell,2,3,N/A,N/A,N/A,N/A,KC,0,N/A,N/A
Ken McKell,2,4,N/A,N/A,N/A,N/A,Throw Out,6,N/A,N/A
Ken McKell,2,5,N/A,N/A,N/A,N/A,Single,5,N/A,N/A
Ken McKell,3,1,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,3,2,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,3,3,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,4,1,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,4,2,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,4,3,N/A,N/A,N/A,N/A,Single,5,N/A,N/A
Ken McKell,4,4,N/A,N/A,N/A,N/A,Fly Out,6,N/A,N/A
Ken McKell,5,1,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,5,2,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,5,3,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,6,1,N/A,N/A,N/A,N/A,Single,6,N/A,N/A
Ken McKell,6,2,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,6,3,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,6,4,N/A,N/A,N/A,N/A,Single,8,N/A,N/A
Ken McKell,7,1,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,7,2,N/A,N/A,N/A,N/A,Triple,7,N/A,N/A
Ken McKell,7,3,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,8,1,N/A,N/A,N/A,N/A,Single,5,N/A,N/A
Ken McKell,8,2,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,8,3,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,8,4,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,9,1,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,9,2,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,9,3,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,9,4,N/A,N/A,N/A,N/A,0,0,N/A,N/A
Ken McKell,10,1,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,10,2,N/A,N/A,N/A,N/A,HBP,0,N/A,N/A
Ken McKell,10,3,N/A,N/A,N/A,N/A,Throw Out,5,N/A,N/A
Ken McKell,11,1,N/A,N/A,N/A,N/A,Single,8,N/A,N/A
Ken McKell,11,2,N/A,N/A,N/A,N/A,Error,6,N/A,N/A
Ken McKell,11,3,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,11,4,N/A,N/A,N/A,N/A,Throw Out,6,N/A,N/A
Ken McKell,12,1,N/A,N/A,N/A,N/A,K2,0,N/A,N/A
Ken McKell,12,2,N/A,N/A,N/A,N/A,Fielders Choice,5,N/A,N/A
Ken McKell,12,3,N/A,N/A,N/A,N/A,Single,8,N/A,N/A
Ken McKell,12,4,N/A,N/A,N/A,N/A,BB,0,N/A,N/A
Ken McKell,13,1,N/A,N/A,N/A,N/A,Single,7,N/A,N/A
Ken McKell,13,2,N/A,N/A,N/A,N/A,Throw Out,4,N/A,N/A
Ken McKell,13,3,N/A,N/A,N/A,N/A,Double,9,N/A,N/A
