,Batter,Game,Hit,None,FC,Err,Out,Year,AB,CumHit,CumAB,BA
107,Peter Sozou,12.0,0.0,0.0,1.0,2.0,1.0,2019.0,4.0,5.0,20.0,0.25
108,Peter Sozou,13.0,0.0,1.0,0.0,0.0,1.0,2019.0,1.0,5.0,21.0,0.238
109,Peter Sozou,14.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,5.0,21.0,0.238
110,Peter Sozou,15.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,5.0,21.0,0.238
111,Peter Sozou,16.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,5.0,21.0,0.238
112,Nick Chedra,1.0,0.0,1.0,0.0,0.0,1.0,2019.0,1.0,0.0,1.0,0.0
113,Nick Chedra,2.0,0.0,1.0,2.0,0.0,1.0,2019.0,3.0,0.0,4.0,0.0
114,Nick Chedra,3.0,2.0,0.0,0.0,0.0,0.0,2019.0,2.0,2.0,6.0,0.333
115,Nick Chedra,4.0,2.0,1.0,0.0,0.0,0.0,2019.0,2.0,4.0,8.0,0.5
116,Nick Chedra,5.0,1.0,0.0,0.0,0.0,2.0,2019.0,3.0,5.0,11.0,0.455
117,Nick Chedra,6.0,2.0,0.0,1.0,0.0,1.0,2019.0,4.0,7.0,15.0,0.467
118,Nick Chedra,7.0,0.0,0.0,0.0,1.0,2.0,2019.0,3.0,7.0,18.0,0.389
119,Nick Chedra,8.0,2.0,1.0,0.0,0.0,0.0,2019.0,2.0,9.0,20.0,0.45
120,Nick Chedra,9.0,1.0,1.0,1.0,0.0,0.0,2019.0,2.0,10.0,22.0,0.455
121,Nick Chedra,10.0,1.0,0.0,0.0,0.0,2.0,2019.0,3.0,11.0,25.0,0.44
122,Nick Chedra,11.0,0.0,2.0,0.0,0.0,1.0,2019.0,1.0,11.0,26.0,0.423
123,Nick Chedra,12.0,3.0,0.0,0.0,0.0,1.0,2019.0,4.0,14.0,30.0,0.467
124,Nick Chedra,13.0,0.0,0.0,0.0,1.0,2.0,2019.0,3.0,14.0,33.0,0.424
125,Nick Chedra,14.0,2.0,2.0,0.0,0.0,0.0,2019.0,2.0,16.0,35.0,0.457
126,Nick Chedra,15.0,1.0,0.0,0.0,1.0,1.0,2019.0,3.0,17.0,38.0,0.447
127,Nick Chedra,16.0,3.0,0.0,0.0,1.0,0.0,2019.0,4.0,20.0,42.0,0.476
128,Mick Pinchin,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,1.0,1.0,1.0,1.0
129,Mick Pinchin,2.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,1.0,1.0,1.0
130,Mick Pinchin,3.0,0.0,0.0,1.0,0.0,1.0,2019.0,2.0,1.0,3.0,0.333
131,Mick Pinchin,4.0,3.0,0.0,0.0,0.0,0.0,2019.0,3.0,4.0,6.0,0.667
132,Mick Pinchin,5.0,0.0,1.0,0.0,0.0,1.0,2019.0,1.0,4.0,7.0,0.571
133,Mick Pinchin,6.0,1.0,0.0,1.0,0.0,1.0,2019.0,3.0,5.0,10.0,0.5
134,Mick Pinchin,7.0,2.0,1.0,0.0,0.0,0.0,2019.0,2.0,7.0,12.0,0.583
135,Mick Pinchin,8.0,3.0,0.0,0.0,0.0,0.0,2019.0,3.0,10.0,15.0,0.667
136,Mick Pinchin,9.0,3.0,0.0,0.0,0.0,1.0,2019.0,4.0,13.0,19.0,0.684
137,Mick Pinchin,10.0,1.0,0.0,0.0,0.0,2.0,2019.0,3.0,14.0,22.0,0.636
138,Mick Pinchin,11.0,2.0,0.0,0.0,1.0,0.0,2019.0,3.0,16.0,25.0,0.64
139,Mick Pinchin,12.0,4.0,0.0,0.0,0.0,0.0,2019.0,4.0,20.0,29.0,0.69
140,Mick Pinchin,13.0,2.0,1.0,0.0,0.0,0.0,2019.0,2.0,22.0,31.0,0.71
141,Mick Pinchin,14.0,1.0,1.0,0.0,1.0,0.0,2019.0,2.0,23.0,33.0,0.697
142,Mick Pinchin,15.0,1.0,0.0,0.0,0.0,2.0,2019.0,3.0,24.0,36.0,0.667
143,Mick Pinchin,16.0,3.0,0.0,1.0,0.0,0.0,2019.0,4.0,27.0,40.0,0.675
144,Brice Hilliard,1.0,2.0,0.0,0.0,0.0,0.0,2019.0,2.0,2.0,2.0,1.0
145,Brice Hilliard,2.0,2.0,0.0,0.0,1.0,1.0,2019.0,4.0,4.0,6.0,0.667
146,Brice Hilliard,3.0,2.0,0.0,0.0,0.0,1.0,2019.0,3.0,6.0,9.0,0.667
147,Brice Hilliard,4.0,3.0,1.0,0.0,0.0,0.0,2019.0,3.0,9.0,12.0,0.75
148,Brice Hilliard,5.0,0.0,1.0,1.0,1.0,0.0,2019.0,2.0,9.0,14.0,0.643
149,Brice Hilliard,6.0,3.0,1.0,0.0,0.0,0.0,2019.0,3.0,12.0,17.0,0.706
150,Brice Hilliard,7.0,0.0,0.0,0.0,0.0,2.0,2019.0,2.0,12.0,19.0,0.632
151,Brice Hilliard,8.0,3.0,0.0,0.0,1.0,0.0,2019.0,4.0,15.0,23.0,0.652
152,Brice Hilliard,9.0,3.0,0.0,0.0,0.0,0.0,2019.0,3.0,18.0,26.0,0.692
