,Batter,Game,AB#,Umpire,Ground,Home,Order,Result,Direction,Strt Case,End Case,Season
0,1,1,1,,,,,BB,0,,,2019
1,1,1,2,,,,,BB,0,,,2019
2,1,1,3,,,,,Throw Out,6,,,2019
3,1,2,1,,,,,BB,0,,,2019
4,1,2,2,,,,,Single,5,,,2019
5,1,2,3,,,,,KC,0,,,2019
6,1,2,4,,,,,Throw Out,6,,,2019
7,1,2,5,,,,,Single,5,,,2019
11,1,4,1,,,,,BB,0,,,2019
12,1,4,2,,,,,BB,0,,,2019
13,1,4,3,,,,,Single,5,,,2019
14,1,4,4,,,,,Fly Out,6,,,2019
18,1,6,1,,,,,Single,6,,,2019
19,1,6,2,,,,,BB,0,,,2019
20,1,6,3,,,,,BB,0,,,2019
21,1,6,4,,,,,Single,8,,,2019
22,1,7,1,,,,,BB,0,,,2019
23,1,7,2,,,,,Triple,7,,,2019
25,1,8,1,,,,,Single,5,,,2019
26,1,8,2,,,,,BB,0,,,2019
27,1,8,3,,,,,BB,0,,,2019
28,1,8,4,,,,,BB,0,,,2019
33,1,10,1,,,,,BB,0,,,2019
34,1,10,2,,,,,HBP,0,,,2019
35,1,10,3,,,,,Throw Out,5,,,2019
36,1,11,1,,,,,Single,8,,,2019
37,1,11,2,,,,,Error,6,,,2019
38,1,11,3,,,,,BB,0,,,2019
39,1,11,4,,,,,Throw Out,6,,,2019
40,1,12,1,,,,,K2,0,,,2019
41,1,12,2,,,,,Fielders Choice,5,,,2019
42,1,12,3,,,,,Single,8,,,2019
43,1,12,4,,,,,BB,0,,,2019
44,1,13,1,,,,,Single,7,,,2019
45,1,13,2,,,,,Throw Out,4,,,2019
46,1,13,3,,,,,Double,9,,,2019
47,1,14,1,,,,,KC,0,,,2019
48,1,14,2,,,,,Throw Out,5,,,2019
49,1,14,3,,,,,BB,0,,,2019
50,1,14,4,,,,,Single,6,,,2019
51,1,15,1,,,,,Single,8,,,2019
52,1,15,2,,,,,Single,8,,,2019
53,1,15,3,,,,,Single,5,,,2019
54,1,16,1,,,,,Error,5,,,2019
55,1,16,2,,,,,Single,5,,,2019
56,1,16,3,,,,,Single,6,,,2019
57,1,16,4,,,,,Single,8,,,2019
58,1,16,5,,,,,#REF!,#REF!,,,2019
59,2,1,1,,,,,BB,0,,,2019
60,2,1,2,,,,,K2,0,,,2019
61,2,1,3,,,,,BB,0,,,2019
62,2,2,1,,,,,Fielders Choice,6,,,2019
63,2,2,2,,,,,Double,8,,,2019
64,2,2,3,,,,,Fly Out,0,,,2019
65,2,2,4,,,,,Single,6,,,2019
67,2,3,1,,,,,Single,6,,,2019
68,2,3,2,,,,,Fly Out,8,,,2019
69,2,3,3,,,,,BB,0,,,2019
70,2,4,1,,,,,Single,7,,,2019
71,2,4,2,,,,,Single,6,,,2019
72,2,4,3,,,,,Single,5,,,2019
73,2,4,4,,,,,Caught Line,5,,,2019
74,2,5,1,,,,,Single,6,,,2019
75,2,5,2,,,,,BB,0,,,2019
76,2,5,3,,,,,Single,7,,,2019
81,2,7,1,,,,,Triple,8,,,2019
