,Batter,Game,AB#,Umpire,Ground,Home,Order,Result,Direction,Strt Case,End Case,Season
82,2,7,2,,,,,Throw Out,4,,,2019
83,2,7,3,,,,,Single,1,,,2019
84,2,8,1,,,,,Single,6,,,2019
85,2,8,2,,,,,Single,8,,,2019
86,2,8,3,,,,,K2,0,,,2019
87,2,8,4,,,,,Fly Out,4,,,2019
92,2,10,1,,,,,Throw Out,6,,,2019
93,2,10,2,,,,,K2,0,,,2019
94,2,10,3,,,,,Single,7,,,2019
95,2,11,1,,,,,Double,7,,,2019
96,2,11,2,,,,,BB,0,,,2019
97,2,11,3,,,,,Throw Out,4,,,2019
98,2,11,4,,,,,Single,8,,,2019
103,2,13,1,,,,,Single,8,,,2019
104,2,13,2,,,,,Fly Out,8,,,2019
105,2,13,3,,,,,Fly Out,3,,,2019
106,2,14,1,,,,,BB,0,,,2019
107,2,14,2,,,,,BB,0,,,2019
108,2,14,3,,,,,HBP,0,,,2019
109,2,14,4,,,,,Single,6,,,2019
110,2,15,1,,,,,Fly Out,6,,,2019
111,2,15,2,,,,,Fly Out,6,,,2019
112,2,15,3,,,,,KC,0,,,2019
113,2,16,1,,,,,BB,0,,,2019
114,2,16,2,,,,,Triple,8,,,2019
115,2,16,3,,,,,Single,7,,,2019
116,2,16,4,,,,,Double,9,,,2019
117,2,16,5,,,,,#REF!,#REF!,,,2019
118,3,1,1,,,,,Throw Out,1,,,2019
119,3,1,2,,,,,Single,8,,,2019
120,3,1,3,,,,,Single,6,,,2019
121,3,2,1,,,,,Single,6,,,2019
122,3,2,2,,,,,Double,9,,,2019
123,3,2,3,,,,,Double,7,,,2019
124,3,2,4,,,,,Muffed Fly,6,,,2019
126,3,3,1,,,,,Fielders Choice,6,,,2019
127,3,3,2,,,,,Fielders Choice,6,,,2019
128,3,3,3,,,,,Muffed Fly,5,,,2019
133,3,5,1,,,,,Single,7,,,2019
134,3,5,2,,,,,Throw Out,5,,,2019
136,3,6,1,,,,,K2,0,,,2019
137,3,6,2,,,,,Throw Out,5,,,2019
138,3,6,3,,,,,Double,7,,,2019
140,3,7,1,,,,,Fly Out,5,,,2019
141,3,7,2,,,,,Single,8,,,2019
142,3,7,3,,,,,BB,0,,,2019
143,3,8,1,,,,,Muffed Fly,7,,,2019
144,3,8,2,,,,,Fly Out,6,,,2019
145,3,8,3,,,,,Muffed Fly,4,,,2019
147,3,9,1,,,,,Error,5,,,2019
148,3,9,2,,,,,Fly Out,8,,,2019
149,3,9,3,,,,,Single,7,,,2019
151,3,10,1,,,,,BB,0,,,2019
152,3,10,2,,,,,Fly Out,4,,,2019
153,3,10,3,,,,,Fly Out,8,,,2019
154,3,11,1,,,,,Throw Out,6,,,2019
155,3,11,2,,,,,Single,7,,,2019
156,3,11,3,,,,,K2,0,,,2019
158,3,12,1,,,,,Fly Out,5,,,2019
159,3,12,2,,,,,Triple,7,,,2019
160,3,12,3,,,,,Fly Out,5,,,2019
161,3,12,4,,,,,Home,8,,,2019
162,3,13,1,,,,,Fielders Choice,1,,,2019
163,3,13,2,,,,,Throw Out,3,,,2019
164,3,13,3,,,,,Single,7,,,2019
165,3,14,1,,,,,HBP,0,,,2019
166,3,14,2,,,,,Fly Out,8,,,2019
167,3,14,3,,,,,Single,7,,,2019
169,3,15,1,,,,,Single,6,,,2019
170,3,15,2,,,,,K2,0,,,2019
171,3,15,3,,,,,BB,0,,,2019
172,3,16,1,,,,,BB,0,,,2019
173,3,16,2,,,,,Single,8,,,2019
174,3,16,3,,,,,Fielders Choice,6,,,2019
175,3,16,4,,,,,Error,6,,,2019
176,3,16,5,,,,,#REF!,#REF!,,,2019
177,4,1,1,,,,,Single,8,,,2019
178,4,1,2,,,,,Double,8,,,2019
179,4,1,3,,,,,BB,0,,,2019
180,4,2,1,,,,,Caught Line,6,,,2019
181,4,2,2,,,,,Single,5,,,2019
182,4,2,3,,,,,Double,7,,,2019
183,4,2,4,,,,,K2,0,,,2019
185,4,3,1,,,,,BB,0,,,2019
186,4,3,2,,,,,Single,8,,,2019
187,4,3,3,,,,,BB,0,,,2019
188,4,4,1,,,,,BB,0,,,2019
189,4,4,2,,,,,BB,0,,,2019
190,4,4,3,,,,,Single,7,,,2019
192,4,5,1,,,,,Single,8,,,2019
193,4,5,2,,,,,BB,0,,,2019
194,4,5,3,,,,,Fly Out,7,,,2019
195,4,6,1,,,,,BB,0,,,2019
196,4,6,2,,,,,K2,0,,,2019
197,4,6,3,,,,,Single,5,,,2019
199,4,7,1,,,,,KC,0,,,2019
200,4,7,2,,,,,BB,0,,,2019
202,4,8,1,,,,,Single,7,,,2019
203,4,8,2,,,,,Caught Line,6,,,2019
204,4,8,3,,,,,Single,7,,,2019
206,4,9,1,,,,,BB,0,,,2019
207,4,9,2,,,,,Single,7,,,2019
208,4,9,3,,,,,Triple,7,,,2019
210,4,10,1,,,,,Double,7,,,2019
211,4,10,2,,,,,BB,0,,,2019
212,4,10,3,,,,,KC,0,,,2019
213,4,11,1,,,,,Muffed Fly,6,,,2019
214,4,11,2,,,,,BB,0,,,2019
215,4,11,3,,,,,Double,9,,,2019
216,4,11,4,,,,,HBP,0,,,2019
217,4,12,1,,,,,BB,0,,,2019
218,4,12,2,,,,,BB,0,,,2019
219,4,12,3,,,,,HBP,0,,,2019
220,4,12,4,,,,,KC,0,,,2019
221,4,13,1,,,,,Double,7,,,2019
222,4,13,2,,,,,Single,7,,,2019
223,4,13,3,,,,,Caught Line,5,,,2019
228,4,15,1,,,,,Single,7,,,2019
229,4,15,2,,,,,Single,7,,,2019
230,4,15,3,,,,,Single,6,,,2019
231,4,16,1,,,,,BB,0,,,2019
232,4,16,2,,,,,Double,7,,,2019
233,4,16,3,,,,,Single,6,,,2019
234,4,16,4,,,,,Fly Out,5,,,2019
235,4,16,5,,,,,#REF!,#REF!,,,2019
236,5,1,1,,,,,BB,0,,,2019
237,5,1,2,,,,,KC,0,,,2019
238,5,1,3,,,,,BB,0,,,2019
239,5,2,1,,,,,Single,8,,,2019
240,5,2,2,,,,,Single,7,,,2019
241,5,2,3,,,,,Single,6,,,2019
242,5,2,4,,,,,Double,8,,,2019
243,5,2,5,,,,,KC,0,,,2019
244,5,3,1,,,,,Fielders Choice,6,,,2019
245,5,3,2,,,,,K2,0,,,2019
246,5,3,3,,,,,BB,0,,,2019
247,5,4,1,,,,,Single,3,,,2019
248,5,4,2,,,,,Fly Out,6,,,2019
249,5,4,3,,,,,Single,4,,,2019
251,5,5,1,,,,,Throw Out,6,,,2019
252,5,5,2,,,,,K2,0,,,2019
254,5,6,1,,,,,HBP,0,,,2019
255,5,6,2,,,,,Fly Out,8,,,2019
256,5,6,3,,,,,Single,9,,,2019
257,5,6,4,,,,,Single,3,,,2019
258,5,7,1,,,,,K2,0,,,2019
259,5,7,2,,,,,Caught Line,5,,,2019
260,5,7,3,,,,,Triple,8,,,2019
261,5,8,1,,,,,K2,0,,,2019
262,5,8,2,,,,,Throw Out,6,,,2019
263,5,8,3,,,,,HBP,0,,,2019
265,5,9,1,,,,,Single,8,,,2019
266,5,9,2,,,,,Fly Out,3,,,2019
267,5,9,3,,,,,Single,1,,,2019
269,5,10,1,,,,,Single,9,,,2019
270,5,10,2,,,,,Triple,9,,,2019
271,5,10,3,,,,,Triple,8,,,2019
272,5,11,1,,,,,Single,9,,,2019
273,5,11,2,,,,,K2,0,,,2019
274,5,11,3,,,,,BB,0,,,2019
275,5,11,4,,,,,KC,0,,,2019
276,5,12,1,,,,,HBP,0,,,2019
277,5,12,2,,,,,Single,8,,,2019
278,5,12,3,,,,,Fly Out,6,,,2019
279,5,12,4,,,,,HBP,0,,,2019
280,5,13,1,,,,,BB,0,,,2019
281,5,13,2,,,,,Single,9,,,2019
282,5,13,3,,,,,Throw Out,1,,,2019
283,5,14,1,,,,,K2,0,,,2019
284,5,14,2,,,,,K2,0,,,2019
285,5,14,3,,,,,HBP,0,,,2019
286,5,14,4,,,,,Single,9,,,2019
287,5,15,1,,,,,Throw Out,1,,,2019
288,5,15,2,,,,,Throw Out,4,,,2019
289,5,15,3,,,,,Single,7,,,2019
290,5,16,1,,,,,Single,7,,,2019
291,5,16,2,,,,,Double,8,,,2019
292,5,16,3,,,,,Single,6,,,2019
293,5,16,4,,,,,Single,6,,,2019
294,5,16,5,,,,,#REF!,#REF!,,,2019
295,6,1,1,,,,,BB,0,,,2019
296,6,1,2,,,,,BB,0,,,2019
297,6,1,3,,,,,K2,0,,,2019
298,6,2,1,,,,,Throw Out,6,,,2019
299,6,2,2,,,,,BB,0,,,2019
300,6,2,3,,,,,K2,0,,,2019
301,6,2,4,,,,,Single,1,,,2019
303,6,3,1,,,,,Single,7,,,2019
304,6,3,2,,,,,Single,6,,,2019
305,6,3,3,,,,,BB,0,,,2019
306,6,4,1,,,,,Single,7,,,2019
307,6,4,2,,,,,Infield Fly,0,,,2019
308,6,4,3,,,,,Single,7,,,2019
310,6,5,1,,,,,Fly Out,8,,,2019
311,6,5,2,,,,,BB,0,,,2019
312,6,5,3,,,,,Muffed Fly,5,,,2019
313,6,6,1,,,,,Single,4,,,2019
314,6,6,2,,,,,Double,7,,,2019
315,6,6,3,,,,,Muffed Fly,4,,,2019
316,6,6,4,,,,,Single,9,,,2019
317,6,7,1,,,,,Fly Out,8,,,2019
318,6,7,2,,,,,Single,7,,,2019
320,6,8,1,,,,,Home,9,,,2019
321,6,8,2,,,,,Single,7,,,2019
322,6,8,3,,,,,Throw Out,3,,,2019
323,6,8,4,,,,,Fielders Choice,4,,,2019
324,6,9,1,,,,,Home,7,,,2019
325,6,9,2,,,,,Single,5,,,2019
326,6,9,3,,,,,Fly Out,7,,,2019
328,6,10,1,,,,,Double,9,,,2019
329,6,10,2,,,,,Double,9,,,2019
330,6,10,3,,,,,Throw Out,1,,,2019
331,6,11,1,,,,,Fly Out,8,,,2019
332,6,11,2,,,,,Single,8,,,2019
333,6,11,3,,,,,Single,7,,,2019
339,6,13,1,,,,,Double,9,,,2019
340,6,13,2,,,,,Single,8,,,2019
341,6,13,3,,,,,K2,0,,,2019
342,6,14,1,,,,,HBP,0,,,2019
343,6,14,2,,,,,BB,0,,,2019
344,6,14,3,,,,,Single,1,,,2019
345,6,14,4,,,,,BB,0,,,2019
346,6,15,1,,,,,Double,4,,,2019
347,6,15,2,,,,,Single,4,,,2019
348,6,15,3,,,,,Throw Out,1,,,2019
353,6,16,5,,,,,#REF!,#REF!,,,2019
354,7,1,1,,,,,Error,1,,,2019
355,7,1,2,,,,,Single,8,,,2019
356,7,1,3,,,,,Fielders Choice,1,,,2019
362,7,3,1,,,,,K2,0,,,2019
363,7,3,2,,,,,Caught Line,6,,,2019
364,7,3,3,,,,,Fly Out,8,,,2019
365,7,4,1,,,,,KC,0,,,2019
366,7,4,2,,,,,Fly Out,7,,,2019
367,7,4,3,,,,,BB,0,,,2019
372,7,6,1,,,,,Single,4,,,2019
373,7,6,2,,,,,HBP,0,,,2019
374,7,6,3,,,,,Error,3,,,2019
375,7,6,4,,,,,Single,6,,,2019
376,7,7,1,,,,,Single,7,,,2019
377,7,7,2,,,,,HBP,0,,,2019
383,7,9,1,,,,,Single,5,,,2019
384,7,9,2,,,,,Error,3,,,2019
385,7,9,3,,,,,BB,0,,,2019
390,7,11,1,,,,,KC,0,,,2019
391,7,11,2,,,,,Throw Out,5,,,2019
392,7,11,3,,,,,BB,0,,,2019
393,7,11,4,,,,,KC,0,,,2019
394,7,12,1,,,,,Error,5,,,2019
395,7,12,2,,,,,Fielders Choice,5,,,2019
396,7,12,3,,,,,KC,0,,,2019
397,7,12,4,,,,,Muffed Fly,7,,,2019
398,7,13,1,,,,,K2,0,,,2019
399,7,13,2,,,,,BB,0,,,2019
412,7,16,5,,,,,#REF!,#REF!,,,2019
413,8,1,1,,,,,K2,0,,,2019
414,8,1,2,,,,,Fly Out,6,,,2019
415,8,1,3,,,,,BB,0,,,2019
416,8,2,1,,,,,Throw Out,5,,,2019
417,8,2,2,,,,,Fielders Choice,6,,,2019
418,8,2,3,,,,,BB,0,,,2019
419,8,2,4,,,,,Fielders Choice,4,,,2019
421,8,3,1,,,,,Single,6,,,2019
422,8,3,2,,,,,Single,7,,,2019
424,8,4,1,,,,,BB,0,,,2019
425,8,4,2,,,,,Single,7,,,2019
426,8,4,3,,,,,Single,5,,,2019
428,8,5,1,,,,,Throw Out,3,,,2019
429,8,5,2,,,,,Single,8,,,2019
430,8,5,3,,,,,Throw Out,1,,,2019
431,8,6,1,,,,,KC,0,,,2019
432,8,6,2,,,,,Single,5,,,2019
433,8,6,3,,,,,Single,7,,,2019
434,8,6,4,,,,,Fielders Choice,4,,,2019
435,8,7,1,,,,,KC,0,,,2019
436,8,7,2,,,,,Fly Out,8,,,2019
437,8,7,3,,,,,Muffed Fly,8,,,2019
438,8,8,1,,,,,Single,9,,,2019
439,8,8,2,,,,,Single,9,,,2019
440,8,8,3,,,,,BB,0,,,2019
442,8,9,1,,,,,Fielders Choice,5,,,2019
443,8,9,2,,,,,Double,8,,,2019
444,8,9,3,,,,,BB,0,,,2019
446,8,10,1,,,,,KC,0,,,2019
447,8,10,2,,,,,K2,0,,,2019
448,8,10,3,,,,,Single,4,,,2019
449,8,11,1,,,,,HBP,0,,,2019
450,8,11,2,,,,,BB,0,,,2019
451,8,11,3,,,,,Fly Out,6,,,2019
453,8,12,1,,,,,K2,0,,,2019
454,8,12,2,,,,,Single,7,,,2019
455,8,12,3,,,,,Single,8,,,2019
456,8,12,4,,,,,Double,9,,,2019
457,8,13,1,,,,,Muffed Fly,3,,,2019
458,8,13,2,,,,,Throw Out,3,,,2019
459,8,13,3,,,,,Throw Out,1,,,2019
460,8,14,1,,,,,BB,0,,,2019
461,8,14,2,,,,,BB,0,,,2019
462,8,14,3,,,,,Single,5,,,2019
463,8,14,4,,,,,Single,5,,,2019
464,8,15,1,,,,,K2,0,,,2019
465,8,15,2,,,,,Double,7,,,2019
466,8,15,3,,,,,Error,5,,,2019
467,8,16,1,,,,,Error,1,,,2019
468,8,16,2,,,,,Single,5,,,2019
469,8,16,3,,,,,Single,7,,,2019
470,8,16,4,,,,,Single,8,,,2019
471,8,16,5,,,,,#REF!,#REF!,,,2019
472,9,1,1,,,,,K2,0,,,2019
473,9,1,2,,,,,BB,0,,,2019
474,9,1,3,,,,,Single,8,,,2019
480,9,3,1,,,,,KC,0,,,2019
481,9,3,2,,,,,Fielders Choice,5,,,2019
483,9,4,1,,,,,Home,0,,,2019
484,9,4,2,,,,,Single,3,,,2019
485,9,4,3,,,,,Double,7,,,2019
487,9,5,1,,,,,Throw Out,4,,,2019
488,9,5,2,,,,,BB,0,,,2019
490,9,6,1,,,,,Fly Out,7,,,2019
491,9,6,2,,,,,Single,8,,,2019
492,9,6,3,,,,,Fielders Choice,5,,,2019
494,9,7,1,,,,,BB,0,,,2019
495,9,7,2,,,,,Single,6,,,2019
496,9,7,3,,,,,Double,9,,,2019
497,9,8,1,,,,,Single,6,,,2019
498,9,8,2,,,,,Double,9,,,2019
499,9,8,3,,,,,Single,7,,,2019
501,9,9,1,,,,,Home,8,,,2019
502,9,9,2,,,,,Double,9,,,2019
503,9,9,3,,,,,Fly Out,8,,,2019
504,9,9,4,,,,,Single,7,,,2019
505,9,10,1,,,,,KC,0,,,2019
506,9,10,2,,,,,Double,8,,,2019
507,9,10,3,,,,,Fly Out,9,,,2019
508,9,11,1,,,,,Double,8,,,2019
509,9,11,2,,,,,Error,5,,,2019
510,9,11,3,,,,,Double,8,,,2019
512,9,12,1,,,,,Double,8,,,2019
513,9,12,2,,,,,Single,7,,,2019
514,9,12,3,,,,,Single,8,,,2019
515,9,12,4,,,,,Double,9,,,2019
516,9,13,1,,,,,Double,9,,,2019
517,9,13,2,,,,,Double,8,,,2019
518,9,13,3,,,,,BB,0,,,2019
519,9,14,1,,,,,Error,8,,,2019
520,9,14,2,,,,,Single,7,,,2019
521,9,14,3,,,,,BB,0,,,2019
523,9,15,1,,,,,Fly Out,5,,,2019
524,9,15,2,,,,,Single,6,,,2019
525,9,15,3,,,,,Fly Out,8,,,2019
526,9,16,1,,,,,Fielders Choice,5,,,2019
527,9,16,2,,,,,Double,8,,,2019
528,9,16,3,,,,,Single,6,,,2019
529,9,16,4,,,,,Single,6,,,2019
530,9,16,5,,,,,#REF!,#REF!,,,2019
531,10,1,1,,,,,Throw Out,1,,,2019
532,10,1,2,,,,,Single,9,,,2019
533,10,1,3,,,,,Single,9,,,2019
534,10,2,1,,,,,Fly Out,9,,,2019
535,10,2,2,,,,,Single,4,,,2019
536,10,2,3,,,,,Error,5,,,2019
537,10,2,4,,,,,Single,9,,,2019
539,10,3,1,,,,,Single,6,,,2019
540,10,3,2,,,,,Single,9,,,2019
541,10,3,3,,,,,Fly Out,3,,,2019
542,10,4,1,,,,,Single,8,,,2019
543,10,4,2,,,,,Single,5,,,2019
544,10,4,3,,,,,BB,0,,,2019
545,10,4,4,,,,,Single,6,,,2019
546,10,5,1,,,,,Fielders Choice,5,,,2019
547,10,5,2,,,,,Error,5,,,2019
548,10,5,3,,,,,BB,0,,,2019
549,10,6,1,,,,,Double,9,,,2019
550,10,6,2,,,,,BB,0,,,2019
551,10,6,3,,,,,Single,8,,,2019
552,10,6,4,,,,,Single,3,,,2019
553,10,7,1,,,,,Fly Out,7,,,2019
554,10,7,2,,,,,Fly Out,8,,,2019
556,10,8,1,,,,,Error,4,,,2019
557,10,8,2,,,,,Single,9,,,2019
558,10,8,3,,,,,Home,8,,,2019
559,10,8,4,,,,,Single,8,,,2019
560,10,9,1,,,,,Single,8,,,2019
561,10,9,2,,,,,Double,8,,,2019
562,10,9,3,,,,,Single,9,,,2019
564,10,10,1,,,,,Error,4,,,2019
565,10,10,2,,,,,KC,0,,,2019
566,10,10,3,,,,,Single,9,,,2019
567,10,11,1,,,,,Single,5,,,2019
568,10,11,2,,,,,BB,0,,,2019
569,10,11,3,,,,,Infield Fly,1,,,2019
570,10,11,4,,,,,Fly Out,3,,,2019
571,10,12,1,,,,,BB,0,,,2019
572,10,12,2,,,,,Throw Out,6,,,2019
573,10,12,3,,,,,Fly Out,8,,,2019
575,10,13,1,,,,,Single,8,,,2019
576,10,13,2,,,,,Throw Out,1,,,2019
577,10,13,3,,,,,Double,9,,,2019
578,10,14,1,,,,,Caught Line,5,,,2019
579,10,14,2,,,,,Single,3,,,2019
580,10,14,3,,,,,Single,6,,,2019
581,10,14,4,,,,,Throw Out,1,,,2019
582,10,15,1,,,,,Double,9,,,2019
583,10,15,2,,,,,Double,9,,,2019
584,10,15,3,,,,,Single,8,,,2019
585,10,16,1,,,,,Single,7,,,2019
586,10,16,2,,,,,Single,8,,,2019
587,10,16,3,,,,,Single,8,,,2019
588,10,16,4,,,,,Single,8,,,2019
589,10,16,5,,,,,#REF!,#REF!,,,2019
598,11,3,1,,,,,K2,0,,,2019
599,11,3,2,,,,,BB,0,,,2019
601,11,4,1,,,,,BB,0,,,2019
602,11,4,2,,,,,Single,7,,,2019
603,11,4,3,,,,,Single,5,,,2019
605,11,5,1,,,,,Single,7,,,2019
606,11,5,2,,,,,HBP,0,,,2019
608,11,6,1,,,,,KC,0,,,2019
609,11,6,2,,,,,Error,3,,,2019
610,11,6,3,,,,,Double,7,,,2019
612,11,7,1,,,,,Fly Out,4,,,2019
613,11,7,2,,,,,Single,9,,,2019
615,11,8,1,,,,,KC,0,,,2019
616,11,8,2,,,,,Single,8,,,2019
617,11,8,3,,,,,Single,6,,,2019
619,11,9,1,,,,,Single,6,,,2019
620,11,9,2,,,,,Fly Out,5,,,2019
621,11,9,3,,,,,Single,7,,,2019
623,11,10,1,,,,,Error,3,,,2019
624,11,10,2,,,,,Fielders Choice,5,,,2019
625,11,10,3,,,,,Double,8,,,2019
630,11,12,1,,,,,Fly Out,8,,,2019
631,11,12,2,,,,,Throw Out,6,,,2019
632,11,12,3,,,,,Error,6,,,2019
634,11,13,1,,,,,KC,0,,,2019
635,11,13,2,,,,,Muffed Fly,1,,,2019
636,11,13,3,,,,,Single,8,,,2019
637,11,14,1,,,,,HBP,0,,,2019
638,11,14,2,,,,,Double,7,,,2019
639,11,14,3,,,,,BB,0,,,2019
641,11,15,1,,,,,Single,7,,,2019
642,11,15,2,,,,,Single,8,,,2019
643,11,15,3,,,,,K2,0,,,2019
644,11,16,1,,,,,Interference,0,,,2019
645,11,16,2,,,,,Single,3,,,2019
646,11,16,3,,,,,Error,6,,,2019
647,11,16,4,,,,,Triple,7,,,2019
648,11,16,5,,,,,#REF!,#REF!,,,2019
